"Timestamp","Bitfinex","Bittrex","Binance","Huboi","Kraken","Kucoin","Poloniex","Coinbase"
1560165578,0.0033025,"na",0.0033,0.003301,"na","na","na","na"
1560165643,0.003302,"na",0.003298,0.003302,"na","na","na","na"
1560165708,0.003302,"na",0.003299,0.003302,"na","na","na","na"
1560165773,0.0033032,"na",0.003298,0.003301,"na","na","na","na"
1560165838,0.0032982,"na",0.003297,0.0033,"na","na","na","na"
1560165903,0.0032989,"na",0.003298,0.0033,"na","na","na","na"
1560165968,0.0032994,"na",0.003294,0.0033,"na","na","na","na"
1560166033,"na","na",0.003298,0.0033,"na","na","na","na"
1560166098,0.0033008,"na",0.003285,0.003297,"na","na","na","na"
1560166163,"na","na",0.003294,0.003296,"na","na","na","na"
1560166228,0.0032968,"na",0.003292,0.003297,"na","na","na","na"
1560166293,0.0033001,"na",0.003296,0.003297,"na","na","na","na"
1560166358,"na","na",0.0033,0.003304,"na","na","na","na"
1560166423,0.0033045,"na",0.003299,0.0033,"na","na","na","na"
1560166488,0.0032981,"na",0.003272,0.003305,"na","na","na","na"
1560166553,0.0032867,"na",0.003274,0.003295,"na","na","na","na"
1560166618,0.0032796,"na",0.003272,0.003284,"na","na","na","na"
1560166683,0.0032786,"na",0.003272,0.003283,"na","na","na","na"
1560166748,"na","na",0.003272,0.003281,"na","na","na","na"
1560166813,0.0032839,"na",0.003277,0.003279,"na","na","na","na"
1560166878,0.0032829,"na",0.003273,0.003278,"na","na","na","na"
1560166943,"na","na",0.003277,0.003273,"na","na","na","na"
1560167008,0.0032782,"na",0.003268,0.003273,"na","na","na","na"
1560167073,0.0032767,"na",0.00327,0.003272,"na","na","na","na"
1560167138,"na","na",0.003269,0.00327,"na","na","na","na"
1560167203,0.0032741,"na",0.003271,0.00327,"na","na","na","na"
1560167268,0.0032741,"na",0.003271,0.00327,"na","na","na","na"
1560167333,0.0032735,"na",0.003272,0.003269,"na","na","na","na"
1560167398,0.0032735,"na",0.003276,0.003273,"na","na","na","na"
1560167463,0.0032735,"na",0.003276,0.003271,"na","na","na","na"
1560167528,"na","na",0.003275,0.003273,"na","na","na","na"
1560167593,0.0032726,"na",0.003272,0.003267,"na","na","na","na"
1560167658,0.0032728,"na",0.003265,0.003266,"na","na","na","na"
1560167723,"na","na",0.00326,0.003262,"na","na","na","na"
1560167788,0.0032689,"na",0.003254,0.003263,"na","na","na","na"
1560167853,0.0032689,"na",0.003263,0.003262,"na","na","na","na"
1560167918,"na","na",0.003265,0.003262,"na","na","na","na"
1560167983,0.0032735,"na",0.003275,0.003278,"na","na","na","na"
1560168048,0.0032863,"na",0.00327,0.003278,"na","na","na","na"
