"Timestamp","Bitfinex","Bittrex","Binance","Huboi","Kraken","Kucoin","Poloniex","Coinbase"
1560165578,4e-06,3.99e-06,4e-06,3.9943e-06,"na","0.00000399","na","na"
1560165643,3.99e-06,4e-06,3.99e-06,3.9941e-06,"na","0.000004","na","na"
1560165708,3.99e-06,4e-06,3.99e-06,3.9922e-06,"na","0.00000399","na","na"
1560165773,3.99e-06,4e-06,3.99e-06,3.9922e-06,"na","0.000004","na","na"
1560165838,4e-06,4e-06,3.99e-06,3.9855e-06,"na","0.00000399","na","na"
1560165903,3.99e-06,3.99e-06,3.99e-06,3.9858e-06,"na","0.00000399","na","na"
1560165968,3.98e-06,3.98e-06,3.97e-06,3.9758e-06,"na","0.00000398","na","na"
1560166033,3.98e-06,3.98e-06,3.98e-06,3.9781e-06,"na","0.00000398","na","na"
1560166098,3.97e-06,3.98e-06,3.98e-06,3.9795e-06,"na","0.00000398","na","na"
1560166163,3.97e-06,3.98e-06,3.97e-06,3.9675e-06,"na","0.00000397","na","na"
1560166228,3.98e-06,3.98e-06,3.98e-06,3.9761e-06,"na","0.00000398","na","na"
1560166293,3.98e-06,3.98e-06,3.98e-06,3.9736e-06,"na","0.00000398","na","na"
1560166358,3.96e-06,3.97e-06,3.97e-06,3.9669e-06,"na","0.00000396","na","na"
1560166423,3.96e-06,3.96e-06,3.96e-06,3.9576e-06,"na","0.00000395","na","na"
1560166488,3.96e-06,3.97e-06,3.97e-06,3.96e-06,"na","0.00000396","na","na"
1560166553,3.95e-06,3.96e-06,3.96e-06,3.9607e-06,"na","0.00000395","na","na"
1560166618,3.96e-06,3.97e-06,3.96e-06,3.96e-06,"na","0.00000396","na","na"
1560166683,3.96e-06,3.97e-06,3.96e-06,3.9599e-06,"na","0.00000396","na","na"
1560166748,3.95e-06,3.96e-06,3.96e-06,3.9508e-06,"na","0.00000395","na","na"
1560166813,3.95e-06,3.95e-06,3.95e-06,3.9416e-06,"na","0.00000395","na","na"
1560166878,3.95e-06,3.94e-06,3.94e-06,3.9428e-06,"na","0.00000395","na","na"
1560166943,3.94e-06,3.94e-06,3.94e-06,3.9398e-06,"na","0.00000394","na","na"
1560167008,3.94e-06,3.95e-06,3.94e-06,3.939e-06,"na","0.00000394","na","na"
1560167073,3.94e-06,3.93e-06,3.94e-06,3.9271e-06,"na","0.00000394","na","na"
1560167138,3.93e-06,3.93e-06,3.93e-06,3.9289e-06,"na","0.00000393","na","na"
1560167203,3.93e-06,3.93e-06,3.93e-06,3.9287e-06,"na","0.00000393","na","na"
1560167268,3.93e-06,3.93e-06,3.93e-06,3.9211e-06,"na","0.00000393","na","na"
1560167333,3.92e-06,3.93e-06,3.93e-06,3.9296e-06,"na","0.00000393","na","na"
1560167398,3.93e-06,3.93e-06,3.94e-06,3.9357e-06,"na","0.00000393","na","na"
1560167463,3.93e-06,3.94e-06,3.94e-06,3.9376e-06,"na","0.00000393","na","na"
1560167528,3.94e-06,3.94e-06,3.94e-06,3.9353e-06,"na","0.00000394","na","na"
1560167593,3.94e-06,3.94e-06,3.94e-06,3.94e-06,"na","0.00000394","na","na"
1560167658,3.94e-06,3.94e-06,3.94e-06,3.9372e-06,"na","0.00000394","na","na"
1560167723,3.94e-06,3.94e-06,3.94e-06,3.9384e-06,"na","0.00000394","na","na"
1560167788,3.94e-06,3.94e-06,3.94e-06,3.9383e-06,"na","0.00000393","na","na"
1560167853,3.95e-06,3.94e-06,3.95e-06,3.944e-06,"na","0.00000394","na","na"
1560167918,3.95e-06,3.94e-06,3.95e-06,3.9465e-06,"na","0.00000394","na","na"
1560167983,3.94e-06,3.94e-06,3.94e-06,3.9427e-06,"na","0.00000394","na","na"
1560168048,3.95e-06,3.94e-06,3.94e-06,3.9398e-06,"na","0.00000395","na","na"
1560168113,3.95e-06,3.95e-06,3.95e-06,3.9427e-06,"na","0.00000395","na","na"
1560168178,3.95e-06,3.96e-06,3.95e-06,3.9482e-06,"na","0.00000395","na","na"
1560168243,3.95e-06,3.96e-06,3.95e-06,3.9468e-06,"na","0.00000395","na","na"
1560168308,3.95e-06,3.95e-06,3.96e-06,3.9518e-06,"na","0.00000395","na","na"
1560168373,3.96e-06,3.95e-06,3.95e-06,3.945e-06,"na","0.00000395","na","na"
1560168438,3.95e-06,3.95e-06,3.95e-06,3.9455e-06,"na","0.00000395","na","na"
1560168503,3.95e-06,3.95e-06,3.95e-06,3.9404e-06,"na","0.00000395","na","na"
1560168568,3.94e-06,3.94e-06,3.94e-06,3.9348e-06,"na","0.00000393","na","na"
1560168633,3.93e-06,3.93e-06,3.93e-06,3.9266e-06,"na","0.00000393","na","na"
1560168698,3.92e-06,3.93e-06,3.92e-06,3.9188e-06,"na","0.00000392","na","na"
1560168763,3.92e-06,3.92e-06,3.92e-06,3.9196e-06,"na","0.00000392","na","na"
1560168828,3.92e-06,3.92e-06,3.92e-06,3.9186e-06,"na","0.00000391","na","na"
1560168893,3.93e-06,3.93e-06,3.94e-06,3.934e-06,"na","0.00000393","na","na"
1560168958,3.93e-06,3.93e-06,3.93e-06,3.9285e-06,"na","0.00000393","na","na"
1560169023,3.93e-06,3.93e-06,3.93e-06,3.9252e-06,"na","0.00000393","na","na"
1560169088,3.92e-06,3.93e-06,3.93e-06,3.9231e-06,"na","0.00000393","na","na"
1560169153,3.92e-06,3.93e-06,3.93e-06,3.9244e-06,"na","0.00000393","na","na"
1560169218,3.92e-06,3.93e-06,3.93e-06,3.9201e-06,"na","0.00000393","na","na"
1560169283,3.92e-06,3.93e-06,3.93e-06,3.9231e-06,"na","0.00000393","na","na"
1560169348,3.93e-06,3.93e-06,3.93e-06,3.9298e-06,"na","0.00000393","na","na"
1560169413,3.94e-06,3.94e-06,3.94e-06,3.9372e-06,"na","0.00000393","na","na"
1560169479,3.94e-06,3.93e-06,3.94e-06,3.9361e-06,"na","0.00000393","na","na"
1560169544,3.94e-06,3.93e-06,3.93e-06,3.9358e-06,"na","0.00000394","na","na"
1560169609,3.93e-06,3.93e-06,3.94e-06,3.932e-06,"na","0.00000394","na","na"
1560169674,3.93e-06,3.93e-06,3.93e-06,3.9299e-06,"na","0.00000393","na","na"
1560169739,3.92e-06,3.93e-06,3.93e-06,3.923e-06,"na","0.00000392","na","na"
1560169804,3.93e-06,3.93e-06,3.92e-06,3.9223e-06,"na","0.00000392","na","na"
1560169869,3.92e-06,3.93e-06,3.92e-06,3.9198e-06,"na","0.00000392","na","na"
1560169934,3.92e-06,3.93e-06,3.93e-06,3.9277e-06,"na","0.00000392","na","na"
1560169999,3.92e-06,3.93e-06,3.93e-06,3.9264e-06,"na","0.00000392","na","na"
1560170064,3.92e-06,3.93e-06,3.93e-06,3.9299e-06,"na","0.00000392","na","na"
1560170129,3.94e-06,3.93e-06,3.93e-06,3.9277e-06,"na","0.00000393","na","na"
1560170194,3.94e-06,3.93e-06,3.93e-06,3.9296e-06,"na","0.00000393","na","na"
1560170259,3.94e-06,3.93e-06,3.93e-06,3.9326e-06,"na","0.00000393","na","na"
1560170324,3.93e-06,3.93e-06,3.93e-06,3.9326e-06,"na","0.00000393","na","na"
1560170389,3.93e-06,3.93e-06,3.93e-06,3.9327e-06,"na","0.00000393","na","na"
1560170454,3.93e-06,3.93e-06,3.94e-06,3.9372e-06,"na","0.00000393","na","na"
1560170519,3.93e-06,3.94e-06,3.94e-06,3.939e-06,"na","0.00000393","na","na"
1560170584,3.93e-06,3.94e-06,3.94e-06,3.9326e-06,"na","0.00000393","na","na"
1560170649,3.94e-06,3.94e-06,3.93e-06,3.9311e-06,"na","0.00000393","na","na"
1560170714,3.93e-06,3.94e-06,3.93e-06,3.9327e-06,"na","0.00000393","na","na"
1560170779,3.93e-06,3.94e-06,3.93e-06,3.9317e-06,"na","0.00000393","na","na"
1560170844,3.92e-06,3.94e-06,3.93e-06,3.9274e-06,"na","0.00000393","na","na"
1560170909,3.93e-06,3.94e-06,3.93e-06,3.9249e-06,"na","0.00000393","na","na"
1560170974,3.93e-06,3.94e-06,3.93e-06,3.9294e-06,"na","0.00000393","na","na"
1560171039,3.93e-06,3.94e-06,3.93e-06,3.9323e-06,"na","0.00000394","na","na"
1560171104,3.94e-06,3.94e-06,3.94e-06,3.9364e-06,"na","0.00000394","na","na"
1560171169,3.94e-06,3.94e-06,3.94e-06,3.9397e-06,"na","0.00000394","na","na"
1560171234,3.94e-06,3.94e-06,3.94e-06,3.94e-06,"na","0.00000394","na","na"
1560171299,3.94e-06,3.94e-06,3.95e-06,3.9385e-06,"na","0.00000394","na","na"
1560171364,3.95e-06,3.95e-06,3.95e-06,3.9452e-06,"na","0.00000395","na","na"
1560171429,3.95e-06,3.96e-06,3.96e-06,3.9547e-06,"na","0.00000395","na","na"
1560171494,3.96e-06,3.96e-06,3.96e-06,3.9534e-06,"na","0.00000395","na","na"
1560171559,3.96e-06,3.96e-06,3.95e-06,3.9528e-06,"na","0.00000395","na","na"
1560171624,3.96e-06,3.96e-06,3.96e-06,3.9534e-06,"na","0.00000395","na","na"
1560171689,3.96e-06,3.96e-06,3.95e-06,3.9515e-06,"na","0.00000395","na","na"
1560171754,3.96e-06,3.96e-06,3.95e-06,3.9495e-06,"na","0.00000395","na","na"
1560171819,3.95e-06,3.96e-06,3.95e-06,3.9455e-06,"na","0.00000395","na","na"
1560171884,3.94e-06,3.95e-06,3.94e-06,3.9406e-06,"na","0.00000395","na","na"
1560171949,3.95e-06,3.95e-06,3.94e-06,3.9422e-06,"na","0.00000394","na","na"
1560172014,3.95e-06,3.95e-06,3.94e-06,3.9418e-06,"na","0.00000394","na","na"
1560172079,3.95e-06,3.95e-06,3.95e-06,3.9426e-06,"na","0.00000395","na","na"
1560172144,3.95e-06,3.95e-06,3.94e-06,3.9407e-06,"na","0.00000395","na","na"
1560172209,3.95e-06,3.95e-06,3.94e-06,3.9429e-06,"na","0.00000394","na","na"
1560172274,3.94e-06,3.95e-06,3.94e-06,3.9386e-06,"na","0.00000394","na","na"
1560172339,3.95e-06,3.95e-06,3.94e-06,3.9413e-06,"na","0.00000394","na","na"
1560172404,3.94e-06,3.95e-06,3.94e-06,3.9421e-06,"na","0.00000394","na","na"
1560172469,3.95e-06,3.95e-06,3.94e-06,3.9426e-06,"na","0.00000395","na","na"
1560172534,3.95e-06,3.95e-06,3.94e-06,3.9403e-06,"na","0.00000394","na","na"
1560172599,3.95e-06,3.94e-06,3.94e-06,3.9378e-06,"na","0.00000395","na","na"
1560172664,3.94e-06,3.94e-06,3.94e-06,3.9372e-06,"na","0.00000394","na","na"
1560172729,3.94e-06,3.94e-06,3.94e-06,3.9392e-06,"na","0.00000394","na","na"
1560172794,3.94e-06,3.94e-06,3.94e-06,3.9348e-06,"na","0.00000394","na","na"
1560172859,3.94e-06,3.94e-06,3.93e-06,3.9274e-06,"na","0.00000394","na","na"
1560172924,3.94e-06,3.93e-06,3.93e-06,3.9275e-06,"na","0.00000393","na","na"
