"Timestamp","Bitfinex","Bittrex","Binance","Huboi","Kraken","Kucoin","Poloniex","Coinbase"
1559981029,5.423e-05,"na",5.413e-05,5.423e-05,"na","na","na","na"
1559981094,5.418e-05,"na",5.407e-05,5.423e-05,"na","na","na","na"
1559981159,5.428e-05,"na",5.419e-05,5.424e-05,"na","na","na","na"
1559981224,5.429e-05,"na",5.421e-05,5.422e-05,"na","na","na","na"
1559981289,5.431e-05,"na",5.417e-05,5.422e-05,"na","na","na","na"
1559981354,5.433e-05,"na",5.422e-05,5.43e-05,"na","na","na","na"
1559981419,"na","na",5.421e-05,5.429e-05,"na","na","na","na"
1559981484,5.43e-05,"na",5.421e-05,5.438e-05,"na","na","na","na"
1559981549,5.439e-05,"na",5.42e-05,5.436e-05,"na","na","na","na"
1559981614,5.432e-05,"na",5.422e-05,5.435e-05,"na","na","na","na"
1559981679,5.435e-05,"na",5.423e-05,5.434e-05,"na","na","na","na"
1559981744,5.432e-05,"na",5.421e-05,5.438e-05,"na","na","na","na"
1559981809,5.43e-05,"na",5.421e-05,5.436e-05,"na","na","na","na"
1559981874,5.434e-05,"na",5.421e-05,5.436e-05,"na","na","na","na"
1559981939,5.434e-05,"na",5.421e-05,5.436e-05,"na","na","na","na"
1559982004,5.436e-05,"na",5.421e-05,5.436e-05,"na","na","na","na"
1559982069,5.432e-05,"na",5.422e-05,5.436e-05,"na","na","na","na"
1559982134,5.436e-05,"na",5.422e-05,5.439e-05,"na","na","na","na"
1559982199,"na","na",5.423e-05,5.431e-05,"na","na","na","na"
1559982264,5.436e-05,"na",5.423e-05,5.432e-05,"na","na","na","na"
1559982329,5.433e-05,"na",5.421e-05,5.434e-05,"na","na","na","na"
1559982394,5.433e-05,"na",5.423e-05,5.434e-05,"na","na","na","na"
1559982460,5.442e-05,"na",5.428e-05,5.455e-05,"na","na","na","na"
1559982525,5.439e-05,"na",5.429e-05,5.445e-05,"na","na","na","na"
1559982590,5.44e-05,"na",5.428e-05,5.447e-05,"na","na","na","na"
1559982655,5.44e-05,"na",5.431e-05,5.441e-05,"na","na","na","na"
1559982720,5.442e-05,"na",5.431e-05,5.455e-05,"na","na","na","na"
1559982785,5.442e-05,"na",5.43e-05,5.461e-05,"na","na","na","na"
1559982850,5.434e-05,"na",5.432e-05,5.453e-05,"na","na","na","na"
1559982915,5.434e-05,"na",5.423e-05,5.448e-05,"na","na","na","na"
1559982980,"na","na",5.431e-05,5.438e-05,"na","na","na","na"
1559983045,5.434e-05,"na",5.431e-05,5.443e-05,"na","na","na","na"
1559983110,"na","na",5.43e-05,5.44e-05,"na","na","na","na"
1559983175,5.434e-05,"na",5.436e-05,5.44e-05,"na","na","na","na"
1559983240,5.434e-05,"na",5.431e-05,5.45e-05,"na","na","na","na"
1559983305,"na","na",5.43e-05,5.446e-05,"na","na","na","na"
1559983370,5.434e-05,"na",5.43e-05,5.448e-05,"na","na","na","na"
1559983435,5.434e-05,"na",5.429e-05,5.444e-05,"na","na","na","na"
1559983500,5.434e-05,"na",5.429e-05,5.455e-05,"na","na","na","na"
1559983565,5.434e-05,"na",5.431e-05,5.442e-05,"na","na","na","na"
1559983630,5.434e-05,"na",5.429e-05,5.431e-05,"na","na","na","na"
1559983695,5.434e-05,"na",5.433e-05,5.432e-05,"na","na","na","na"
1559983760,5.434e-05,"na",5.428e-05,5.436e-05,"na","na","na","na"
1559983825,5.434e-05,"na",5.426e-05,5.448e-05,"na","na","na","na"
1559983890,"na","na",5.433e-05,5.44e-05,"na","na","na","na"
1559983955,5.434e-05,"na",5.432e-05,5.44e-05,"na","na","na","na"
1559984020,5.434e-05,"na",5.434e-05,5.438e-05,"na","na","na","na"
1559984085,5.434e-05,"na",5.434e-05,5.438e-05,"na","na","na","na"
1559984150,5.434e-05,"na",5.434e-05,5.438e-05,"na","na","na","na"
1559984215,5.434e-05,"na",5.43e-05,5.438e-05,"na","na","na","na"
1559984280,5.434e-05,"na",5.428e-05,5.45e-05,"na","na","na","na"
1559984345,5.434e-05,"na",5.428e-05,5.433e-05,"na","na","na","na"
1559984410,5.434e-05,"na",5.426e-05,5.431e-05,"na","na","na","na"
1559984475,5.434e-05,"na",5.428e-05,5.446e-05,"na","na","na","na"
1559984540,5.441e-05,"na",5.441e-05,5.439e-05,"na","na","na","na"
1559984605,5.441e-05,"na",5.438e-05,5.447e-05,"na","na","na","na"
1559984670,5.441e-05,"na",5.435e-05,5.462e-05,"na","na","na","na"
1559984735,5.441e-05,"na",5.434e-05,5.446e-05,"na","na","na","na"
1559984800,5.441e-05,"na",5.435e-05,5.445e-05,"na","na","na","na"
1559984865,5.441e-05,"na",5.433e-05,5.452e-05,"na","na","na","na"
1559984930,5.441e-05,"na",5.436e-05,5.45e-05,"na","na","na","na"
1559984995,5.441e-05,"na",5.436e-05,5.448e-05,"na","na","na","na"
1559985060,5.441e-05,"na",5.435e-05,5.442e-05,"na","na","na","na"
1559985125,5.441e-05,"na",5.432e-05,5.441e-05,"na","na","na","na"
1559985190,5.441e-05,"na",5.431e-05,5.432e-05,"na","na","na","na"
1559985255,5.44e-05,"na",5.429e-05,5.431e-05,"na","na","na","na"
1559985340,"na","na",5.429e-05,5.434e-05,"na","na","na","na"
1559985405,5.437e-05,"na",5.425e-05,5.43e-05,"na","na","na","na"
1559985470,5.439e-05,"na",5.427e-05,5.434e-05,"na","na","na","na"
1559985535,5.435e-05,"na",5.425e-05,5.434e-05,"na","na","na","na"
1559985600,5.434e-05,"na",5.425e-05,5.436e-05,"na","na","na","na"
1559985665,5.436e-05,"na",5.43e-05,5.435e-05,"na","na","na","na"
1559985730,5.435e-05,"na",5.426e-05,5.436e-05,"na","na","na","na"
1559985795,5.44e-05,"na",5.433e-05,5.435e-05,"na","na","na","na"
1559985860,"na","na",5.431e-05,5.43e-05,"na","na","na","na"
1559985925,5.439e-05,"na",5.431e-05,5.43e-05,"na","na","na","na"
1559985990,5.436e-05,"na",5.427e-05,5.43e-05,"na","na","na","na"
1559986055,5.437e-05,"na",5.424e-05,5.43e-05,"na","na","na","na"
1559986120,5.44e-05,"na",5.426e-05,5.43e-05,"na","na","na","na"
1559986185,5.435e-05,"na",5.434e-05,5.43e-05,"na","na","na","na"
1559986250,5.439e-05,"na",5.429e-05,5.43e-05,"na","na","na","na"
1559986315,5.436e-05,"na",5.429e-05,5.43e-05,"na","na","na","na"
1559986380,5.44e-05,"na",5.432e-05,5.438e-05,"na","na","na","na"
1559986445,5.44e-05,"na",5.432e-05,5.449e-05,"na","na","na","na"
1559986510,"na","na",5.431e-05,5.447e-05,"na","na","na","na"
1559986575,5.44e-05,"na",5.432e-05,5.442e-05,"na","na","na","na"
1559986724,5.443e-05,"na",5.433e-05,5.437e-05,"na","na","na","na"
1559986789,5.444e-05,"na",5.433e-05,5.449e-05,"na","na","na","na"
1559986854,5.445e-05,"na",5.434e-05,5.448e-05,"na","na","na","na"
1559986919,5.446e-05,"na",5.434e-05,5.447e-05,"na","na","na","na"
1559986984,5.445e-05,"na",5.435e-05,5.447e-05,"na","na","na","na"
1559987049,"na","na",5.435e-05,5.448e-05,"na","na","na","na"
1559987114,5.447e-05,"na",5.433e-05,5.446e-05,"na","na","na","na"
1559987179,5.444e-05,"na",5.432e-05,5.445e-05,"na","na","na","na"
1559987244,5.445e-05,"na",5.432e-05,5.445e-05,"na","na","na","na"
1559987309,5.454e-05,"na",5.434e-05,5.445e-05,"na","na","na","na"
1559987374,5.448e-05,"na",5.435e-05,5.453e-05,"na","na","na","na"
1559987439,5.453e-05,"na",5.435e-05,5.449e-05,"na","na","na","na"
1559987504,5.448e-05,"na",5.434e-05,5.458e-05,"na","na","na","na"
1559987569,5.453e-05,"na",5.435e-05,5.452e-05,"na","na","na","na"
1559987634,5.453e-05,"na",5.445e-05,5.46e-05,"na","na","na","na"
1559987699,5.461e-05,"na",5.446e-05,5.461e-05,"na","na","na","na"
1559987764,5.463e-05,"na",5.449e-05,5.463e-05,"na","na","na","na"
1559987829,5.467e-05,"na",5.452e-05,5.46e-05,"na","na","na","na"
1559987894,5.463e-05,"na",5.451e-05,5.458e-05,"na","na","na","na"
1559987959,5.463e-05,"na",5.44e-05,5.458e-05,"na","na","na","na"
1559988024,5.457e-05,"na",5.44e-05,5.445e-05,"na","na","na","na"
1559988089,5.454e-05,"na",5.441e-05,5.457e-05,"na","na","na","na"
1559988154,5.466e-05,"na",5.446e-05,5.453e-05,"na","na","na","na"
1559988219,5.464e-05,"na",5.448e-05,5.459e-05,"na","na","na","na"
1559988284,5.463e-05,"na",5.447e-05,5.457e-05,"na","na","na","na"
1559988349,5.464e-05,"na",5.444e-05,5.457e-05,"na","na","na","na"
1559988414,5.458e-05,"na",5.445e-05,5.456e-05,"na","na","na","na"
